Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-11-17 00:00:00-05:00,5.980457775834678,6.417491228684136,5.957456015158391,6.348485946655273,35659200,0.0,0.0
1995-11-20 00:00:00-05:00,6.325482156939972,6.486494430025717,6.026459364066446,6.118466377258301,8434000,0.0,0.0
1995-11-21 00:00:00-05:00,6.072465216976473,6.095466979161989,5.842447595121303,6.003459930419922,6440000,0.0,0.0
1995-11-22 00:00:00-05:00,5.980455157482048,6.279477915356151,5.980455157482048,6.18747091293335,3480800,0.0,0.0
1995-11-24 00:00:00-05:00,6.233475955156442,6.417490005493164,6.210474198864352,6.417490005493164,1279200,0.0,0.0
1995-11-27 00:00:00-05:00,6.417489920343671,6.555500456265041,6.348484652382987,6.440491676330566,2403200,0.0,0.0
1995-11-28 00:00:00-05:00,6.440492989360423,6.46349475003671,6.256478903950125,6.348485946655273,1054800,0.0,0.0
1995-11-29 00:00:00-05:00,6.3254828963960925,6.601503968238831,6.302481140409197,6.440491676330566,1331200,0.0,0.0
1995-11-30 00:00:00-05:00,6.509498815765905,6.7625182043645795,6.486497053166025,6.693512916564941,2426000,0.0,0.0
1995-12-01 00:00:00-05:00,6.693514158328375,6.716515925195482,6.578505323992835,6.624508857727051,978400,0.0,0.0
1995-12-04 00:00:00-05:00,6.6475070484897545,6.693510557475842,6.5094965215314895,6.555500030517578,594000,0.0,0.0
1995-12-05 00:00:00-05:00,6.555498919028828,6.555498919028828,6.348483163691076,6.463491916656494,1148800,0.0,0.0
1995-12-06 00:00:00-05:00,6.440492454150044,6.624506524268616,6.440492454150044,6.4864959716796875,1216000,0.0,0.0
1995-12-07 00:00:00-05:00,6.532498700278146,6.555500456265041,6.394488164356777,6.440491676330566,641200,0.0,0.0
1995-12-08 00:00:00-05:00,6.417491195093879,6.601505279541016,6.348485913426203,6.601505279541016,668800,0.0,0.0
1995-12-11 00:00:00-05:00,6.624507628765302,6.693512916564941,6.601505866165423,6.693512916564941,660000,0.0,0.0
1995-12-12 00:00:00-05:00,6.647507480212621,6.670509236199515,6.417489920343671,6.440491676330566,971600,0.0,0.0
1995-12-13 00:00:00-05:00,6.486495844751811,6.486495844751811,6.279480019919307,6.39448881149292,528400,0.0,0.0
1995-12-14 00:00:00-05:00,6.417490307490031,6.417490307490031,6.210474491119385,6.210474491119385,639200,0.0,0.0
1995-12-15 00:00:00-05:00,6.256475761755189,6.3024792600033885,6.141467016134689,6.164468765258789,1366400,0.0,0.0
1995-12-18 00:00:00-05:00,6.1644714139542485,6.187473172961541,6.072464377925081,6.095466136932373,741600,0.0,0.0
1995-12-19 00:00:00-05:00,6.072463946872287,6.279479763242933,6.0494621894977705,6.210474491119385,643600,0.0,0.0
1995-12-20 00:00:00-05:00,6.233477143273838,6.394489468007849,6.233477143273838,6.348485946655273,360400,0.0,0.0
1995-12-21 00:00:00-05:00,6.325483536548752,6.4634940864370884,6.302481778234029,6.39448881149292,301600,0.0,0.0
1995-12-22 00:00:00-05:00,6.417489920343671,6.440491676330566,6.348484652382987,6.440491676330566,208400,0.0,0.0
1995-12-26 00:00:00-05:00,6.417489554855849,6.417489554855849,6.256477272117531,6.279479026794434,240000,0.0,0.0
1995-12-27 00:00:00-05:00,6.34848672846602,6.5094990730285645,6.34848672846602,6.5094990730285645,351600,0.0,0.0
1995-12-28 00:00:00-05:00,6.53249948920933,6.555501247974152,6.463494212914865,6.4864959716796875,344400,0.0,0.0
1995-12-29 00:00:00-05:00,6.463493518077344,6.5094970306615245,6.371486492908984,6.417490005493164,219200,0.0,0.0
1996-01-02 00:00:00-05:00,6.417489920343671,6.4634934323174615,6.371486408369882,6.440491676330566,169200,0.0,0.0
1996-01-03 00:00:00-05:00,6.463493518077344,6.578502299537796,6.371486492908984,6.417490005493164,682000,0.0,0.0
1996-01-04 00:00:00-05:00,6.440491452544174,6.48649496291949,6.27947916623057,6.371486186981201,414800,0.0,0.0
1996-01-05 00:00:00-05:00,6.279479763242933,6.325483277991966,6.095465704246803,6.210474491119385,773600,0.0,0.0
1996-01-08 00:00:00-05:00,6.210473929823984,6.233475685119629,6.164470419232695,6.233475685119629,48800,0.0,0.0
1996-01-09 00:00:00-05:00,6.256475761755189,6.256475761755189,6.164468765258789,6.164468765258789,864000,0.0,0.0
1996-01-10 00:00:00-05:00,6.095466136932373,6.1644714139542485,5.980457341895913,6.095466136932373,458400,0.0,0.0
1996-01-11 00:00:00-05:00,6.118466908641406,6.302480951006562,6.118466908641406,6.233475685119629,477600,0.0,0.0
1996-01-12 00:00:00-05:00,6.210474744975138,6.39448881149292,6.187472986660415,6.39448881149292,338400,0.0,0.0
1996-01-15 00:00:00-05:00,6.394487942168859,6.440491452544174,6.348484431793543,6.371486186981201,580800,0.0,0.0
1996-01-16 00:00:00-05:00,6.325483277991966,6.325483277991966,6.0494621894977705,6.210474491119385,512800,0.0,0.0
1996-01-17 00:00:00-05:00,6.118465267010589,6.164468765258789,5.980454772265989,6.164468765258789,126400,0.0,0.0
